"3325 W CHICAGO AVE , Chicago, IL",11,"1121",-87.7099409,41.8953076,"3325 w chicago ave, chicago, il 60651, usa"
"7605 S GREEN ST , Chicago, IL",6,"621",-87.6451447,41.7558574,"7605 s green st, chicago, il 60620, usa"
"3544 W CHICAGO AVE , Chicago, IL",11,"1121",-87.715665,41.89575,"3544 w chicago ave, chicago, il 60651, usa"
"6228 S EBERHART AVE , Chicago, IL",3,"313",-87.613489,41.7811959,"6228 s eberhart ave, chicago, il 60637, usa"
"805 N DRAKE AVE , Chicago, IL",11,"1121",-87.7149441,41.8956185,"805 n drake ave, chicago, il 60651, usa"
"3933 W 13TH ST , Chicago, IL",10,"1011",-87.7239307,41.8643515,"3933 w 13th st, chicago, il 60623, usa"
"121 S SPRINGFIELD AVE , Chicago, IL",11,"1122",-87.7229138,41.8789545,"121 s springfield ave, chicago, il 60624, usa"
"841 W IRVING PARK RD , Chicago, IL",19,"1923",-87.6510792,41.9544577,"841 w irving park rd, chicago, il 60613, usa"
"8949 S HARPER AVE , Chicago, IL",4,"413",-87.5865131,41.7318105,"8949 s harper ave, chicago, il 60619, usa"
"732 S ST LOUIS AVE , Chicago, IL",11,"1133",-87.7134385,41.8717119,"732 s st louis ave, chicago, il 60624, usa"
"3805 W DIVISION ST , Chicago, IL",11,"1112",-87.7216774,41.9023657,"3805 w division st, chicago, il 60651, usa"
"3709 W CHICAGO AVE , Chicago, IL",11,"1112",-87.719153,41.895172,"3709 w chicago ave, chicago, il 60651, usa"
"5 S CICERO AVE , Chicago, IL",11,"1113",-87.7450173,41.8800459,"5 s cicero ave, chicago, il 60644, usa"
"3942 W VAN BUREN ST , Chicago, IL",11,"1132",-87.724773,41.87554,"3942 w van buren st, chicago, il 60624, usa"
"2649 N MEADE AVE , Chicago, IL",25,"2512",-87.7780819,41.928894,"2649 n meade ave, chicago, il 60639, usa"
"1003 N LAMON AVE , Chicago, IL",15,"1531",-87.748132,41.8989039,"1003 n lamon ave, chicago, il 60651, usa"
"1866 S KOMENSKY AVE , Chicago, IL",10,"1012",-87.7262556,41.8551173,"1866 s komensky ave, chicago, il 60623, usa"
"3036 W 21ST PL , Chicago, IL",10,"1022",-87.7017526,41.8530145,"3036 w 21st pl, chicago, il 60623, usa"
"3417 W HARRISON ST , Chicago, IL",11,"1133",-87.711508,41.8734881,"3417 w harrison st, chicago, il 60624, usa"
"4100 N MARINE DR , Chicago, IL",19,"1915",-87.6464361,41.9559948,"4100 n marine dr, chicago, il 60613, usa"
"6616 S HALSTED ST , Chicago, IL",7,"723",-87.6450021,41.7736583,"6616 s halsted st, chicago, il 60621, usa"
"831 N HARDING AVE , Chicago, IL",11,"1112",-87.7246175,41.8963265,"831 n harding ave, chicago, il 60651, usa"
"12 S SPRINGFIELD AVE , Chicago, IL",11,"1122",-87.7233876,41.8806439,"12 s springfield ave, chicago, il 60624, usa"
"3822 W MONROE ST , Chicago, IL",11,"1122",-87.7217749,41.880085,"3822 w monroe st, chicago, il 60624, usa"
"3916 W THOMAS ST , Chicago, IL",11,"1112",-87.7244205,41.9008567,"3916 w thomas st, chicago, il 60651, usa"
"805 N LATROBE AVE , Chicago, IL",15,"1524",-87.75683,41.8950756,"805 n latrobe ave, chicago, il 60651, usa"
"3957 W WILCOX ST , Chicago, IL",11,"1122",-87.7252907,41.8786149,"3957 w wilcox st, chicago, il 60624, usa"
"3107 W PERSHING RD , Chicago, IL",9,"921",-87.7024239,41.8224109,"3107 w pershing rd, chicago, il 60632, usa"
"4741 W DIVERSEY AVE , Chicago, IL",25,"2521",-87.7457879,41.9313266,"4741 w diversey ave, chicago, il 60639, usa"
"3534 W CHICAGO AVE , Chicago, IL",11,"1121",-87.715259,41.895752,"3534 w chicago ave, chicago, il 60651, usa"
"5515 W CORCORAN PL , Chicago, IL",15,"1523",-87.7640979,41.8871066,"5515 w corcoran pl, chicago, il 60644, usa"
"9900 S HALSTED ST , Chicago, IL",22,"2232",-87.6435066,41.7138219,"9900 s halsted st, chicago, il 60628, usa"
"5562 N LINCOLN AVE , Chicago, IL",20,"2011",-87.6946664,41.9824446,"5562 n lincoln ave, chicago, il 60625, usa"
"3410 W MADISON ST , Chicago, IL",11,"1123",-87.7113988,41.8809081,"3410 w madison st, chicago, il 60624, usa"
"3958 W MONROE ST , Chicago, IL",11,"1122",-87.7254277,41.8801869,"3958 w monroe st, chicago, il 60624, usa"
"5936 S CALIFORNIA AVE , Chicago, IL",8,"824",-87.6938001,41.7853166,"5936 s california ave, chicago, il 60629, usa"
"5911 W BARRY AVE , Chicago, IL",25,"2514",-87.7742119,41.9365285,"5911 w barry ave, chicago, il 60634, usa"
"5902 S PAULINA ST , Chicago, IL",7,"714",-87.667109,41.7866359,"5902 s paulina st, chicago, il 60636, usa"
"4010 W ADAMS ST , Chicago, IL",11,"1115",-87.726091,41.87824,"4010 w adams st, chicago, il 60624, usa"
"6701 S PARNELL AVE , Chicago, IL",7,"722",-87.638299,41.772402,"6701 s parnell ave, chicago, il 60621, usa"
"4325 W MAYPOLE AVE , Chicago, IL",11,"1114",-87.7341718,41.8842879,"4325 w maypole ave, chicago, il 60624, usa"
"8710 S ABERDEEN ST , Chicago, IL",22,"2222",-87.6509099,41.7357554,"8710 s aberdeen st, chicago, il 60620, usa"
"7638 N PAULINA ST , Chicago, IL",24,"2422",-87.673379,42.020579,"7638 n paulina st, chicago, il 60626, usa"
